OID,Date,Species,Habitat,Porte,lat,lon,Month,Day,Year
68,11/19/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,38.54371631,-8.912970989,11,19,2018
69,12/23/2018,Phytolacca americana,Jardim,Erva,41.17111326,-8.685018256,12,23,2018
70,12/23/2018,Acacia longifolia,Jardim,AÅrvore ou arbusto,41.16780957,-8.679837019,12,23,2018
71,12/23/2018,Pittosporum undulatum,Jardim,AÅrvore ou arbusto,41.16713666,-8.679902028,12,23,2018
72,12/23/2018,Oxalis pes-caprae,Jardim,Erva,41.16711235,-8.680057262,12,23,2018
73,12/23/2018,Conyza sumatrensis,Jardim,Erva,39.39097869,-8.63702986,12,23,2018
74,12/23/2018,Conyza bonariensis,Jardim,Erva,39.39140946,-8.636973713,12,23,2018
75,12/23/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,39.39404693,-8.638328959,12,23,2018
76,12/23/2018,Oxalis pes-caprae,Jardim,Erva,39.39176045,-8.637087924,12,23,2018
77,12/23/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,38.46769964,-9.11211165,12,23,2018
78,12/23/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,38.46805012,-9.112001185,12,23,2018
79,12/25/2018,Oxalis pes-caprae,Duna,Erva,37.08558009,-8.322259433,12,25,2018
80,12/25/2018,Arundo donax,Beira de √°gua,Erva,37.0929496,-8.3090151,12,25,2018
81,12/25/2018,Oxalis pes-caprae,Beira de √°gua,Erva,37.0929496,-8.3090151,12,25,2018
82,12/25/2018,Carpobrotus edulis,Beira de √°gua,Suculenta,37.0806719,-8.315629771,12,25,2018
83,12/23/2018,Myriophyllum aquaticum,Na √°gua,Erva aquA°tica,40.30438807,-8.230728161,12,23,2018
84,12/23/2018,Acacia dealbata,Beira de √°gua,AÅrvore ou arbusto,40.30480629,-8.230823675,12,23,2018
85,12/08/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,37.02734374,-7.94816789,12,8,2018
86,12/23/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,40.30310544,-8.230352077,12,23,2018
87,12/23/2018,Tradescantia fluminensis,Beira de √°gua,Erva,40.3025269,-8.230707174,12,23,2018
88,12/22/2018,Oxalis pes-caprae,Jardim,Erva,39.6429428,-8.5886113,12,22,2018
89,12/20/2018,Oxalis pes-caprae,Outro,Erva,39.6479888,-8.5316951,12,20,2018
90,12/19/2018,Acacia melanoxylon,Pinhal,AÅrvore ou arbusto,40.76813167,-8.362108333,12,19,2018
91,12/19/2018,Acacia melanoxylon,Eucaliptal,AÅrvore ou arbusto,40.771145,-8.357861667,12,19,2018
92,12/19/2018,Hakea sericea,Pinhal,AÅrvore ou arbusto,40.77071167,-8.359978333,12,19,2018
93,11/25/2018,Phytolacca americana,Terreno Inculto,Erva,41.5613759,-8.43602805,11,25,2018
94,11/25/2018,Cortaderia selloana,Terreno Inculto,Erva,40.22520531,-8.482572021,11,25,2018
95,12/18/2018,Cortaderia selloana,Jardim,Erva,32.7936727,-16.8858777,12,18,2018
96,12/18/2018,Cortaderia selloana,Jardim,Erva,32.7995671,-16.8903038,12,18,2018
97,12/18/2018,Cortaderia selloana,Terreno Inculto,Erva,32.80034454,-16.88936899,12,18,2018
98,12/16/2018,Arundo donax,Beira de √°gua,Erva,37.08983796,-7.72573806,12,16,2018
99,12/16/2018,Cortaderia selloana,Beira de √°gua,Erva,37.09000481,-7.72579859,12,16,2018
100,12/16/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,37.13638466,-7.724415947,12,16,2018
101,12/16/2018,Acacia pycnantha,Terreno Inculto,AÅrvore ou arbusto,37.15682782,-7.69658479,12,16,2018
102,12/16/2018,Arundo donax,Beira de √°gua,Erva,37.15561848,-7.69628308,12,16,2018
103,12/16/2018,Phytolacca americana,Beira de √°gua,Erva,37.15738002,-7.698033935,12,16,2018
104,12/16/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,37.1573536,-7.698654516,12,16,2018
105,12/16/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,37.150421,-7.73200188,12,16,2018
106,12/16/2018,Opuntia maxima,Jardim,Suculenta,37.15402094,-7.796173565,12,16,2018
107,12/16/2018,Acacia pycnantha,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,37.15413924,-7.796054125,12,16,2018
108,12/16/2018,Oxalis pes-caprae,Terreno Inculto,Erva,37.15400817,-7.795852988,12,16,2018
109,12/16/2018,Oxalis pes-caprae,√Å¬Årea agr√≠cola,Erva,37.15565702,-7.769997109,12,16,2018
110,12/16/2018,Acacia saligna,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,37.15573444,-7.769618453,12,16,2018
111,12/16/2018,Acacia pycnantha,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,37.18757113,-7.744458986,12,16,2018
112,12/16/2018,Conyza bonariensis,Berma de estrada/caminho-de-ferro,Erva,37.18488621,-7.741287061,12,16,2018
113,12/16/2018,Cortaderia selloana,Jardim,Erva,37.18485361,-7.741649225,12,16,2018
114,12/16/2018,Oxalis pes-caprae,Outro,Erva,37.18497401,-7.741224682,12,16,2018
115,12/16/2018,Arundo donax,Beira de √°gua,Erva,37.18493651,-7.739795684,12,16,2018
116,12/16/2018,Acacia pycnantha,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,37.17897602,-7.73896197,12,16,2018
117,12/16/2018,Cortaderia selloana,Jardim,Erva,37.17838521,-7.741410908,12,16,2018
118,12/16/2018,Agave americana,Jardim,Suculenta,37.17852166,-7.741435468,12,16,2018
119,12/16/2018,Oxalis pes-caprae,Outro,Erva,37.17860571,-7.741546472,12,16,2018
120,12/15/2018,Opuntia maxima,Outro,Suculenta,37.08580846,-8.281436834,12,15,2018
121,12/14/2018,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,40.94173172,-8.644555645,12,14,2018
122,12/15/2018,Cortaderia selloana,Terreno Inculto,Erva,38.54767576,-8.86004028,12,15,2018
123,12/15/2018,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,40.90485451,-8.473543954,12,15,2018
124,12/02/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,37.16753058,-7.906214148,12,2,2018
125,12/14/2018,Acacia dealbata,Jardim,AÅrvore ou arbusto,41.1602566,-8.6221878,12,14,2018
126,12/14/2018,Tradescantia fluminensis,Jardim,Erva,41.15964592,-8.622663476,12,14,2018
127,12/13/2018,Acacia longifolia,Duna,AÅrvore ou arbusto,39.95854253,-8.88666439,12,13,2018
128,11/14/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,37.72782336,-8.33776474,11,14,2017
129,11/14/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,37.49601869,-8.481299902,11,14,2017
130,11/26/2018,Conyza canadensis,Berma de estrada/caminho-de-ferro,Erva,37.13176621,-8.35553646,11,26,2018
131,12/02/2018,Oxalis pes-caprae,Jardim,Erva,37.15721983,-7.893310737,12,2,2018
132,12/02/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,37.20081176,-7.926624463,12,2,2018
133,12/11/2018,Acacia dealbata,Beira de √°gua,AÅrvore ou arbusto,40.37464833,-8.067998333,12,11,2018
134,4/18/2017,Robinia pseudoacacia,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.95408452,-8.519288811,4,18,2017
135,4/18/2017,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.95477372,-8.520872623,4,18,2017
136,4/18/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,38.95592813,-8.52300759,4,18,2017
137,4/18/2017,Ailanthus altissima,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.96090431,-8.529062527,4,18,2017
138,4/18/2017,Robinia pseudoacacia,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.96950577,-8.536568143,4,18,2017
139,4/18/2017,Arundo donax,Beira de √°gua,Erva,38.96952795,-8.53637388,4,18,2017
140,4/18/2017,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,39.0008384,-8.557969399,4,18,2017
141,4/18/2017,Arundo donax,Beira de √°gua,Erva,39.06493889,-8.564807455,4,18,2017
142,4/18/2017,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,39.06541407,-8.56502201,4,18,2017
143,4/18/2017,Acacia mearnsii,Terreno Inculto,AÅrvore ou arbusto,39.10292508,-8.576859596,4,18,2017
144,4/18/2017,Opuntia maxima,Berma de estrada/caminho-de-ferro,Suculenta,39.10221884,-8.577005928,4,18,2017
145,4/18/2017,Ailanthus altissima,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,39.115398,-8.582963234,4,18,2017
146,4/18/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,39.11434157,-8.579025173,4,18,2017
147,4/18/2017,Robinia pseudoacacia,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,39.11517211,-8.583989743,4,18,2017
148,4/18/2017,Robinia pseudoacacia,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,39.14886611,-8.617179546,4,18,2017
149,4/18/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,39.15330435,-8.619613893,4,18,2017
150,4/18/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,41.18709862,-8.667064684,4,18,2017
151,4/18/2017,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,41.18763357,-8.668014368,4,18,2017
152,4/18/2017,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,41.18973854,-8.676697439,4,18,2017
153,11/26/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,41.198974,-8.581286,11,26,2018
154,12/05/2018,Acacia dealbata,Pinhal,AÅrvore ou arbusto,41.290346,-7.741229,12,5,2018
155,4/18/2017,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,39.17257541,-8.621194643,4,18,2017
156,12/05/2018,Conyza bonariensis,Jardim,Erva,38.73033231,-9.12211486,12,5,2018
157,12/05/2018,Cortaderia selloana,Jardim,Erva,37.02649517,-7.939603245,12,5,2018
158,12/05/2018,Acacia saligna,Jardim,AÅrvore ou arbusto,37.02573208,-7.940171073,12,5,2018
159,12/05/2018,Oxalis pes-caprae,Terreno Inculto,Erva,37.02526086,-7.940172422,12,5,2018
160,12/09/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,40.64525974,-8.6555188,12,9,2018
161,12/08/2018,Acacia longifolia,Eucaliptal,AÅrvore ou arbusto,40.3144,-8.48068,12,8,2018
162,12/08/2018,Acacia longifolia,Eucaliptal,AÅrvore ou arbusto,40.315038,-8.481808,12,8,2018
163,12/08/2018,Acacia dealbata,Eucaliptal,AÅrvore ou arbusto,40.314126,-8.480406,12,8,2018
164,12/08/2018,Acacia longifolia,Eucaliptal,AÅrvore ou arbusto,39.69174403,-8.85232287,12,8,2018
165,12/08/2018,Cortaderia selloana,Terreno Inculto,Erva,39.69386992,-8.85896047,12,8,2018
166,12/08/2018,Cortaderia selloana,Eucaliptal,Erva,39.69624801,-8.85819257,12,8,2018
167,12/08/2018,Acacia longifolia,Eucaliptal,AÅrvore ou arbusto,39.70018535,-8.85386787,12,8,2018
168,12/08/2018,Phytolacca americana,√Å¬Årea agr√≠cola,Erva,40.69740167,-7.941025,12,8,2018
169,12/02/2018,Arundo donax,Beira de √°gua,Erva,40.44649514,-8.798693696,12,2,2018
170,12/02/2018,Myriophyllum aquaticum,Na √°gua,Erva aquA°tica,40.43951898,-8.755017062,12,2,2018
171,12/06/2018,Cortaderia selloana,Terreno Inculto,Erva,32.66074553,-16.89433539,12,6,2018
172,12/06/2018,Hakea sericea,Pinhal,AÅrvore ou arbusto,40.83491667,-7.846973333,12,6,2018
173,12/06/2018,Cortaderia selloana,Terreno Inculto,Erva,32.8091835,-16.88514,12,6,2018
174,12/04/2018,Cortaderia selloana,Jardim,Erva,32.7916546,-16.8880907,12,4,2018
175,12/03/2018,Arundo donax,√Å¬Årea agr√≠cola,Erva,39.90351494,-8.52139796,12,3,2018
176,12/03/2018,Cortaderia selloana,Jardim,Erva,32.7355772,-17.1700539,12,3,2018
177,12/03/2018,Cortaderia selloana,Terreno Inculto,Erva,32.71596841,-17.1488099,12,3,2018
178,12/02/2018,Eichhornia crassipes,Na √°gua,Erva aquA°tica,40.14180662,-8.861312877,12,2,2018
179,12/02/2018,Cortaderia selloana,Jardim,Erva,41.86986154,-6.674546892,12,2,2018
180,12/02/2018,Cortaderia selloana,Jardim,Erva,41.92836019,-6.726151907,12,2,2018
181,12/02/2018,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,41.92819437,-6.72602069,12,2,2018
182,12/02/2018,Ailanthus altissima,Beira de √°gua,AÅrvore ou arbusto,41.87475919,-6.74631453,12,2,2018
183,12/02/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,41.86798486,-6.74979338,12,2,2018
184,12/02/2018,Opuntia maxima,Terreno Inculto,Suculenta,40.66426762,-8.328036202,12,2,2018
185,12/01/2018,Acacia dealbata,Eucaliptal,AÅrvore ou arbusto,40.304578,-8.466811,12,1,2018
186,12/01/2018,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,40.21969792,-8.3404856,12,1,2018
187,12/01/2018,Ailanthus altissima,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,40.21982418,-8.34025382,12,1,2018
188,12/01/2018,Cortaderia selloana,Jardim,Erva,32.82461192,-17.10739016,12,1,2018
189,11/30/2018,Cortaderia selloana,Terreno Inculto,Erva,38.81863525,-9.240513733,11,30,2018
190,11/30/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,38.81224941,-9.234319841,11,30,2018
191,11/30/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,32.66132348,-16.89490124,11,30,2018
192,11/30/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,32.6610462,-16.8984185,11,30,2018
193,11/30/2018,Cortaderia selloana,Jardim,Erva,32.6531027,-16.908719,11,30,2018
194,11/30/2018,Cortaderia selloana,Jardim,Erva,32.6379933,-16.93130861,11,30,2018
195,11/30/2018,Cortaderia selloana,Jardim,Erva,32.6381062,-16.9311278,11,30,2018
196,11/30/2018,Cortaderia selloana,Jardim,Erva,32.6473274,-16.9300687,11,30,2018
197,11/30/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,32.6591876,-16.9342003,11,30,2018
198,11/30/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,32.65624468,-16.93679908,11,30,2018
199,11/30/2018,Cortaderia selloana,Jardim,Erva,32.6534922,-16.9297972,11,30,2018
200,11/24/2018,Oxalis pes-caprae,Outro,Erva,37.31075053,-8.508008788,11,24,2018
201,11/30/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,38.8135562,-9.234229596,11,30,2018
202,11/30/2018,Arundo donax,Jardim,Erva,38.81246021,-9.234388517,11,30,2018
203,11/29/2018,Cortaderia selloana,Jardim,Erva,32.66172292,-16.86829402,11,29,2018
204,11/24/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,39.87093681,-8.949088781,11,24,2018
205,11/27/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,32.67184695,-16.88584138,11,27,2018
206,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.6762092,-16.890994,11,27,2018
207,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.6769218,-16.8877219,11,27,2018
208,11/27/2018,Cortaderia selloana,Outro,Erva,32.67017349,-16.88272219,11,27,2018
209,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.66942538,-16.8836192,11,27,2018
210,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.66915354,-16.88914862,11,27,2018
211,11/27/2018,Cortaderia selloana,Jardim,Erva,32.67557052,-16.89161393,11,27,2018
212,11/27/2018,Cortaderia selloana,Jardim,Erva,32.67082291,-16.88998089,11,27,2018
213,11/27/2018,Cortaderia selloana,Jardim,Erva,32.67056799,-16.88993893,11,27,2018
214,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.67011849,-16.88950662,11,27,2018
215,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.6685516,-16.8962053,11,27,2018
216,11/27/2018,Cortaderia selloana,Terreno Inculto,Erva,32.66994229,-16.88916114,11,27,2018
217,11/27/2018,Cortaderia selloana,Jardim,Erva,32.7329806,-17.1885186,11,27,2018
218,11/27/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,32.74973592,-17.18779866,11,27,2018
219,11/26/2018,Ricinus communis,Terreno Inculto,AÅrvore ou arbusto,37.12800907,-8.38976544,11,26,2018
220,11/26/2018,Arundo donax,Terreno Inculto,Erva,37.12917823,-8.38928036,11,26,2018
221,11/26/2018,Acacia saligna,Terreno Inculto,AÅrvore ou arbusto,37.12916828,-8.38917797,11,26,2018
222,11/26/2018,Opuntia maxima,Berma de estrada/caminho-de-ferro,Suculenta,37.12069889,-8.38499477,11,26,2018
223,11/26/2018,Acacia longifolia,Jardim,AÅrvore ou arbusto,37.11970846,-8.3837223,11,26,2018
224,11/26/2018,Carpobrotus edulis,Jardim,Suculenta,37.11890789,-8.38337959,11,26,2018
225,11/26/2018,Arundo donax,Terreno Inculto,Erva,37.11367874,-8.37665937,11,26,2018
226,11/26/2018,Ailanthus altissima,Terreno Inculto,AÅrvore ou arbusto,37.11397803,-8.37655262,11,26,2018
227,11/26/2018,Acacia saligna,Terreno Inculto,AÅrvore ou arbusto,37.11460459,-8.37730563,11,26,2018
228,11/26/2018,Ricinus communis,Terreno Inculto,AÅrvore ou arbusto,37.11430957,-8.37694652,11,26,2018
229,11/26/2018,Oxalis pes-caprae,√Å¬Årea agr√≠cola,Erva,37.11226134,-8.37400977,11,26,2018
230,11/26/2018,Opuntia maxima,Berma de estrada/caminho-de-ferro,Suculenta,37.113312,-8.36782827,11,26,2018
231,11/26/2018,Arundo donax,Terreno Inculto,Erva,37.12266264,-8.37736411,11,26,2018
232,11/26/2018,Opuntia maxima,Jardim,Suculenta,37.12197866,-8.38091256,11,26,2018
233,11/26/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,37.12233745,-8.3816118,11,26,2018
234,11/26/2018,Acacia saligna,Terreno Inculto,AÅrvore ou arbusto,37.12018218,-8.37770057,11,26,2018
235,11/26/2018,Cortaderia selloana,Terreno Inculto,Erva,37.12021069,-8.3773556,11,26,2018
236,11/26/2018,Ricinus communis,Terreno Inculto,AÅrvore ou arbusto,37.12033906,-8.37635838,11,26,2018
237,11/26/2018,Conyza bonariensis,Berma de estrada/caminho-de-ferro,Erva,37.11912744,-8.37303025,11,26,2018
238,11/26/2018,Opuntia maxima,√Å¬Årea agr√≠cola,Suculenta,37.1036809,-8.2365084,11,26,2018
239,11/26/2018,Oxalis pes-caprae,√Å¬Årea agr√≠cola,Erva,37.12330569,-8.37266109,11,26,2018
240,11/26/2018,Ricinus communis,Terreno Inculto,AÅrvore ou arbusto,37.10538731,-8.36420119,11,26,2018
241,11/26/2018,Ipomoea indica,Jardim,Trepadeira,37.11451393,-8.36226731,11,26,2018
242,11/26/2018,Oxalis pes-caprae,Terreno Inculto,Erva,37.12204101,-8.35239019,11,26,2018
243,11/26/2018,Oxalis pes-caprae,√Å¬Årea agr√≠cola,Erva,37.12898335,-8.35551298,11,26,2018
244,11/26/2018,Opuntia maxima,Berma de estrada/caminho-de-ferro,Suculenta,37.12901215,-8.3555145,11,26,2018
245,11/26/2018,Agave americana,√Å¬Årea agr√≠cola,Suculenta,37.12909295,-8.35532411,11,26,2018
246,11/26/2018,Oxalis pes-caprae,√Å¬Årea agr√≠cola,Erva,37.13494977,-8.36833177,11,26,2018
247,11/26/2018,Acacia saligna,√Å¬Årea agr√≠cola,AÅrvore ou arbusto,37.13498137,-8.36839582,11,26,2018
